nba_id,_id,first_name,last_name,team
203518,5bb7cd4bf6fc0cd8aef9228b,Alex,Abrines,OKC
1629121,5bb7cd4bf6fc0cd8aef9228c,Jaylen,Adams,ATL
203500,5bb7cd4bf6fc0cd8aef9228d,Steven,Adams,OKC
1629061,5bb7cd4bf6fc0cd8aef9228e,Deng,Adel,TOR
1628389,5bb7cd4bf6fc0cd8aef9228f,Bam,Adebayo,MIA
201582,5bb7cd4bf6fc0cd8aef92290,Alexis,Ajinca,NOP
1629152,5bb7cd4bf6fc0cd8aef92291,DeVaughn,Akoon-Purcell,DEN
200746,5bb7cd4bf6fc0cd8aef92292,LaMarcus,Aldridge,SAS
1628576,5bb7cd4bf6fc0cd8aef92293,Bryce,Alford,OKC
1628959,5bb7cd4bf6fc0cd8aef92294,Rawle,Alkins,CHI
1628960,5bb7cd4bf6fc0cd8aef92295,Grayson,Allen,UTA
202329,5bb7cd4bf6fc0cd8aef92296,Al-Farouq,Aminu,POR
1626147,5bb7cd4bf6fc0cd8aef92297,Justin,Anderson,ATL
203937,5bb7cd4bf6fc0cd8aef92298,Kyle,Anderson,MEM
201583,5bb7cd4bf6fc0cd8aef92299,Ryan,Anderson,PHX
1629132,5bb7cd4bf6fc0cd8aef9229a,Braian,Angola-Rodas,ORL
1628387,5bb7cd4bf6fc0cd8aef9229b,Ike,Anigbogu,IND
203507,5bb7cd4bf6fc0cd8aef9229c,Giannis,Antetokounmpo,MIL
1628961,5bb7cd4bf6fc0cd8aef9229d,Kostas,Antetokounmpo,DAL
2546,5bb7cd4bf6fc0cd8aef9229e,Carmelo,Anthony,HOU
1628384,5bb7cd4bf6fc0cd8aef9229f,OG,Anunoby,TOR
1628443,5bb7cd4bf6fc0cd8aef922a0,Kadeem,Allen,NYK
2772,5bb7cd4bf6fc0cd8aef922a1,Trevor,Ariza,PHX
1627853,5bb7cd4bf6fc0cd8aef922a2,Ryan,Arcidiacono,CHI
1628386,5bb7cd4bf6fc0cd8aef922a3,Jarrett,Allen,BKN
202730,5bb7cd4bf6fc0cd8aef922a4,Lavoy,Allen,WAS
201589,5bb7cd4bf6fc0cd8aef922a5,Darrell,Arthur,PHX
201600,5bb7cd4bf6fc0cd8aef922a6,Omer,Asik,CHI
1628503,5bb7cd4bf6fc0cd8aef922a7,Jamel,Artis,SAC
201571,5bb7cd4bf6fc0cd8aef922a8,D.J.,Augustin,ORL
1628963,5bb7cd4bf6fc0cd8aef922a9,Marvin,Bagley III,SAC
1627649,5bb7cd4bf6fc0cd8aef922aa,Brandon,Austin,SAC
1627758,5bb7cd4bf6fc0cd8aef922ab,Ron,Baker,NYK
1629028,5bb7cd4bf6fc0cd8aef922ac,Deandre,Ayton,PHX
1628407,5bb7cd4bf6fc0cd8aef922ad,Dwayne,Bacon,CHA
1627735,5bb7cd4bf6fc0cd8aef922ae,Wade,Baldwin IV,POR
1628366,5bb7cd4bf6fc0cd8aef922af,Lonzo,Ball,LAL
1628964,5bb7cd4bf6fc0cd8aef922b0,Mohamed,Bamba,ORL
200826,5bb7cd4bf6fc0cd8aef922b1,J.J.,Barea,DAL
1628965,5bb7cd4bf6fc0cd8aef922b2,Jaylen,Barford,CHA
203084,5bb7cd4bf6fc0cd8aef922b3,Harrison,Barnes,DAL
203115,5bb7cd4bf6fc0cd8aef922b4,Will,Barton,DEN
1628966,5bb7cd4bf6fc0cd8aef922b5,Keita,Bates-Diop,MIN
201587,5bb7cd4bf6fc0cd8aef922b6,Nicolas,Batum,CHA
201573,5bb7cd4bf6fc0cd8aef922b7,Jerryd,Bayless,PHI
203145,5bb7cd4bf6fc0cd8aef922b8,Kent,Bazemore,ATL
203382,5bb7cd4bf6fc0cd8aef922b9,Aron,Baynes,BOS
203078,5bb7cd4bf6fc0cd8aef922ba,Bradley,Beal,WAS
1627736,5bb7cd4bf6fc0cd8aef922bb,Malik,Beasley,DEN
201563,5bb7cd4bf6fc0cd8aef922bc,Michael,Beasley,LAL
201158,5bb7cd4bf6fc0cd8aef922bd,Marco,Belinelli,SAS
1628395,5bb7cd4bf6fc0cd8aef922be,Jordan,Bell,GSW
1627761,5bb7cd4bf6fc0cd8aef922bf,DeAndre',Bembry,ATL
1627733,5bb7cd4bf6fc0cd8aef922c0,Dragan,Bender,PHX
1629137,5bb7cd4bf6fc0cd8aef922c1,Joel,Berry II,LAL
202722,5bb7cd4bf6fc0cd8aef922c2,Davis,Bertans,SAS
201976,5bb7cd4bf6fc0cd8aef922c3,Patrick,Beverley,LAC
203920,5bb7cd4bf6fc0cd8aef922c4,Khem,Birch,ORL
1629167,5bb7cd4bf6fc0cd8aef922c5,Justin,Bibbs,BOS
1628444,5bb7cd4bf6fc0cd8aef922c6,Jabari,Bird,BOS
202687,5bb7cd4bf6fc0cd8aef922c7,Bismack,Biyombo,CHA
1628469,5bb7cd4bf6fc0cd8aef922c8,Antonio,Blakeney,CHI
202357,5bb7cd4bf6fc0cd8aef922c9,Nemanja,Bjelica,SAC
202339,5bb7cd4bf6fc0cd8aef922ca,Eric,Bledsoe,MIL
1628417,5bb7cd4bf6fc0cd8aef922cb,Jaron,Blossomgame,SAS
1629129,5bb7cd4bf6fc0cd8aef922cc,Trevon,Bluiett,NOP
203992,5bb7cd4bf6fc0cd8aef922cd,Bogdan,Bogdanovic,SAC
202711,5bb7cd4bf6fc0cd8aef922ce,Bojan,Bogdanovic,IND
1628413,5bb7cd4bf6fc0cd8aef922cf,Jonah,Bolden,PHI
1629067,5bb7cd4bf6fc0cd8aef922d0,Isaac,Bonga,LAL
1626164,5bb7cd4bf6fc0cd8aef922d1,Devin,Booker,PHX
1628449,5bb7cd4bf6fc0cd8aef922d2,Chris,Boucher,TOR
202340,5bb7cd4bf6fc0cd8aef922d3,Avery,Bradley,LAC
1628396,5bb7cd4bf6fc0cd8aef922d4,Tony,Bradley,UTA
1628969,5bb7cd4bf6fc0cd8aef922d5,Mikal,Bridges,PHX
1628970,5bb7cd4bf6fc0cd8aef922d6,Miles,Bridges,CHA
1628515,5bb7cd4bf6fc0cd8aef922d7,Isaiah,Briscoe,ORL
1629151,5bb7cd4bf6fc0cd8aef922d8,Ryan,Broekhoff,DAL
1627763,5bb7cd4bf6fc0cd8aef922d9,Malcolm,Brogdon,MIL
1628415,5bb7cd4bf6fc0cd8aef922da,Dillon,Brooks,MEM
202705,5bb7cd4bf6fc0cd8aef922db,MarShon,Brooks,MEM
1626148,5bb7cd4bf6fc0cd8aef922dc,Anthony,Brown,PHI
1628971,5bb7cd4bf6fc0cd8aef922dd,Bruce,Brown,DET
1627759,5bb7cd4bf6fc0cd8aef922de,Jaylen,Brown,BOS
203485,5bb7cd4bf6fc0cd8aef922df,Lorenzo,Brown,TOR
1628425,5bb7cd4bf6fc0cd8aef922e0,Sterling,Brown,MIL
1628972,5bb7cd4bf6fc0cd8aef922e1,Troy,Brown Jr.,WAS
1628973,5bb7cd4bf6fc0cd8aef922e2,Jalen,Brunson,DAL
1628418,5bb7cd4bf6fc0cd8aef922e3,Thomas,Bryant,WAS
203493,5bb7cd4bf6fc0cd8aef922e4,Reggie,Bullock,DET
203504,5bb7cd4bf6fc0cd8aef922e5,Trey,Burke,NYK
202692,5bb7cd4bf6fc0cd8aef922e6,Alec,Burks,UTA
1629126,5bb7cd4bf6fc0cd8aef922e7,Deonte,Burton,OKC
202710,5bb7cd4bf6fc0cd8aef922e8,Jimmy,Butler,MIN
203998,5bb7cd4bf6fc0cd8aef922e9,Bruno,Caboclo,HOU
101181,5bb7cd4bf6fc0cd8aef922ea,Jose,Calderon,DET
203477,5bb7cd4bf6fc0cd8aef922eb,Isaiah,Canaan,PHX
203484,5bb7cd4bf6fc0cd8aef922ec,Kentavious,Caldwell-Pope,LAL
203991,5bb7cd4bf6fc0cd8aef922ed,Clint,Capela,HOU
201960,5bb7cd4bf6fc0cd8aef922ee,DeMarre,Carroll,BKN
1629050,5bb7cd4bf6fc0cd8aef922ef,Jeffrey,Carroll,LAL
1628975,5bb7cd4bf6fc0cd8aef922f0,Jevon,Carter,MEM
1713,5bb7cd4bf6fc0cd8aef922f1,Vince,Carter,ATL
1628976,5bb7cd4bf6fc0cd8aef922f2,Wendell,Carter Jr.,CHI
1627936,5bb7cd4bf6fc0cd8aef922f3,Alex,Caruso,LAL
201956,5bb7cd4bf6fc0cd8aef922f4,Omri,Casspi,MEM
1626161,5bb7cd4bf6fc0cd8aef922f5,Willie,Cauley-Stein,SAC
1628505,5bb7cd4bf6fc0cd8aef922f6,Troy,Caupain,ORL
1628463,5bb7cd4bf6fc0cd8aef922f7,Tyler,Cavanaugh,UTA
201596,5bb7cd4bf6fc0cd8aef922f8,Mario,Chalmers,MEM
2199,5bb7cd4bf6fc0cd8aef922f9,Tyson,Chandler,PHX
201163,5bb7cd4bf6fc0cd8aef922fa,Wilson,Chandler,PHI
203487,5bb7cd4bf6fc0cd8aef922fb,Michael,Carter-Williams,HOU
1629147,5bb7cd4bf6fc0cd8aef922fc,Joe,Chealey,CHA
1629185,5bb7cd4bf6fc0cd8aef922fd,Chris,Chiozza,WAS
1627737,5bb7cd4bf6fc0cd8aef922fe,Marquese,Chriss,HOU
1629109,5bb7cd4bf6fc0cd8aef922ff,Gary,Clark,HOU
203546,5bb7cd4bf6fc0cd8aef92300,Ian,Clark,NOP
203903,5bb7cd4bf6fc0cd8aef92301,Jordan,Clarkson,CLE
1628499,5bb7cd4bf6fc0cd8aef92302,Antonius,Cleveland,CHI
1628381,5bb7cd4bf6fc0cd8aef92303,John,Collins,ATL
1627858,5bb7cd4bf6fc0cd8aef92304,Kyle,Collinsworth,TOR
1628380,5bb7cd4bf6fc0cd8aef92305,Zach,Collins,POR
201954,5bb7cd4bf6fc0cd8aef92306,Darren,Collison,IND
1629045,5bb7cd4bf6fc0cd8aef92307,Bonzie,Colson,CLE
201144,5bb7cd4bf6fc0cd8aef92308,Mike,Conley,MEM
1626192,5bb7cd4bf6fc0cd8aef92309,Pat,Connaughton,MIL
1626188,5bb7cd4bf6fc0cd8aef9230a,Quinn,Cook,GSW
202326,5bb7cd4bf6fc0cd8aef9230b,DeMarcus,Cousins,GSW
1627766,5bb7cd4bf6fc0cd8aef9230c,Isaiah,Cousins,UTA
203496,5bb7cd4bf6fc0cd8aef9230d,Robert,Covington,PHI
203459,5bb7cd4bf6fc0cd8aef9230e,Allen,Crabbe,BKN
1629156,5bb7cd4bf6fc0cd8aef9230f,Markel,Crawford,MEM
1628470,5bb7cd4bf6fc0cd8aef92310,Torrey,Craig,DEN
203109,5bb7cd4bf6fc0cd8aef92311,Jae,Crowder,UTA
201967,5bb7cd4bf6fc0cd8aef92312,Dante,Cunningham,SAS
203552,5bb7cd4bf6fc0cd8aef92313,Seth,Curry,POR
201939,5bb7cd4bf6fc0cd8aef92314,Stephen,Curry,GSW
203584,5bb7cd4bf6fc0cd8aef92315,Troy,Daniels,PHX
1629195,5bb7cd4bf6fc0cd8aef92316,Devin,Davis,ORL
201942,5bb7cd4bf6fc0cd8aef92317,DeMar,DeRozan,SAS
203473,5bb7cd4bf6fc0cd8aef92318,Dewayne,Dedmon,ATL
202334,5bb7cd4bf6fc0cd8aef92319,Ed,Davis,BKN
203076,5bb7cd4bf6fc0cd8aef9231a,Anthony,Davis,NOP
1629093,5bb7cd4bf6fc0cd8aef9231b,Tyler,Davis,OKC
1626155,5bb7cd4bf6fc0cd8aef9231c,Sam,Dekker,CLE
1629116,5bb7cd4bf6fc0cd8aef9231d,Angel,Delgado,LAC
1629094,5bb7cd4bf6fc0cd8aef9231e,Marcus,Derrickson,GSW
1628978,5bb7cd4bf6fc0cd8aef9231f,Donte,DiVincenzo,MIL
1627767,5bb7cd4bf6fc0cd8aef92320,Cheick,Diallo,NOP
203521,5bb7cd4bf6fc0cd8aef92321,Matthew,Dellavedova,MIL
2736,5bb7cd4bf6fc0cd8aef92322,Luol,Deng,MIN
1628977,5bb7cd4bf6fc0cd8aef92323,Hamidou,Diallo,OKC
1629142,5bb7cd4bf6fc0cd8aef92324,Yanyuhang,Ding,DAL
203476,5bb7cd4bf6fc0cd8aef92325,Gorgui,Dieng,MIN
203915,5bb7cd4bf6fc0cd8aef92326,Spencer,Dinwiddie,BKN
1629029,5bb7cd4bf6fc0cd8aef92327,Luka,Doncic,DAL
1628416,5bb7cd4bf6fc0cd8aef92328,Tyler,Dorsey,ATL
1628422,5bb7cd4bf6fc0cd8aef92329,Damyean,Dotson,NYK
1628408,5bb7cd4bf6fc0cd8aef9232a,PJ,Dozier,BOS
201609,5bb7cd4bf6fc0cd8aef9232b,Goran,Dragic,MIA
203083,5bb7cd4bf6fc0cd8aef9232c,Andre,Drummond,DET
201162,5bb7cd4bf6fc0cd8aef9232d,Jared,Dudley,BKN
1627739,5bb7cd4bf6fc0cd8aef9232e,Kris,Dunn,CHI
201142,5bb7cd4bf6fc0cd8aef9232f,Kevin,Durant,GSW
1628979,5bb7cd4bf6fc0cd8aef92330,Trevon,Duval,MIL
1629053,5bb7cd4bf6fc0cd8aef92331,Vincent,Edwards,HOU
1627740,5bb7cd4bf6fc0cd8aef92332,Henry,Ellenson,DET
201961,5bb7cd4bf6fc0cd8aef92333,Wayne,Ellington,MIA
203954,5bb7cd4bf6fc0cd8aef92334,Joel,Embiid,PHI
203516,5bb7cd4bf6fc0cd8aef92335,James,Ennis III,HOU
1629234,5bb7cd4bf6fc0cd8aef92336,Drew,Eubanks,SAS
1628980,5bb7cd4bf6fc0cd8aef92337,Jacob,Evans,GSW
1629037,5bb7cd4bf6fc0cd8aef92338,Keenan,Evans,DET
1628393,5bb7cd4bf6fc0cd8aef92339,Jawun,Evans,LAC
201936,5bb7cd4bf6fc0cd8aef9233a,Tyreke,Evans,IND
203957,5bb7cd4bf6fc0cd8aef9233b,Dante,Exum,UTA
202702,5bb7cd4bf6fc0cd8aef9233c,Kenneth,Faried,BKN
1627770,5bb7cd4bf6fc0cd8aef9233d,Kay,Felder,TOR
202324,5bb7cd4bf6fc0cd8aef9233e,Derrick,Favors,UTA
101109,5bb7cd4bf6fc0cd8aef9233f,Raymond,Felton,OKC
1628390,5bb7cd4bf6fc0cd8aef92340,Terrance,Ferguson,OKC
1627812,5bb7cd4bf6fc0cd8aef92341,Yogi,Ferrell,SAC
1627827,5bb7cd4bf6fc0cd8aef92342,Dorian,Finney-Smith,DAL
1627854,5bb7cd4bf6fc0cd8aef92343,Bryn,Forbes,SAS
203095,5bb7cd4bf6fc0cd8aef92344,Evan,Fournier,ORL
1628368,5bb7cd4bf6fc0cd8aef92345,De'Aaron,Fox,SAC
204025,5bb7cd4bf6fc0cd8aef92346,Tim,Frazier,MIL
1628982,5bb7cd4bf6fc0cd8aef92347,Melvin,Frazier Jr.,ORL
101112,5bb7cd4bf6fc0cd8aef92348,Channing,Frye,CLE
1626245,5bb7cd4bf6fc0cd8aef92349,Cristiano,Felicio,CHI
1628365,5bb7cd4bf6fc0cd8aef9234a,Markelle,Fultz,PHI
1629117,5bb7cd4bf6fc0cd8aef9234b,Wenyen,Gabriel,SAC
203583,5bb7cd4bf6fc0cd8aef9234c,Abdul,Gaddy,OKC
201568,5bb7cd4bf6fc0cd8aef9234d,Danilo,Gallinari,LAC
204038,5bb7cd4bf6fc0cd8aef9234e,Langston,Galloway,DET
201188,5bb7cd4bf6fc0cd8aef9234f,Marc,Gasol,MEM
2200,5bb7cd4bf6fc0cd8aef92350,Pau,Gasol,SAS
1629232,5bb7cd4bf6fc0cd8aef92351,Kaiser,Gates,CHI
200752,5bb7cd4bf6fc0cd8aef92352,Rudy,Gay,SAS
202331,5bb7cd4bf6fc0cd8aef92353,Paul,George,OKC
1627875,5bb7cd4bf6fc0cd8aef92354,Marcus,Georges-Hunt,BOS
201959,5bb7cd4bf6fc0cd8aef92355,Taj,Gibson,MIN
1628385,5bb7cd4bf6fc0cd8aef92356,Harry,Giles III,SAC
1628983,5bb7cd4bf6fc0cd8aef92357,Shai,Gilgeous-Alexander,LAC
1629164,5bb7cd4bf6fc0cd8aef92358,Brandon,Goodwin,MEM
203497,5bb7cd4bf6fc0cd8aef92359,Rudy,Gobert,UTA
203932,5bb7cd4bf6fc0cd8aef9235a,Aaron,Gordon,ORL
201569,5bb7cd4bf6fc0cd8aef9235b,Eric,Gordon,HOU
101162,5bb7cd4bf6fc0cd8aef9235c,Marcin,Gortat,LAC
1628984,5bb7cd4bf6fc0cd8aef9235d,Devonte',Graham,CHA
1626203,5bb7cd4bf6fc0cd8aef9235e,Treveon,Graham,BKN
203924,5bb7cd4bf6fc0cd8aef9235f,Jerami,Grant,OKC
1626170,5bb7cd4bf6fc0cd8aef92360,Jerian,Grant,ORL
1629154,5bb7cd4bf6fc0cd8aef92361,Rob,Gray,HOU
203629,5bb7cd4bf6fc0cd8aef92362,Garlon,Green,NOP
201980,5bb7cd4bf6fc0cd8aef92363,Danny,Green,TOR
203110,5bb7cd4bf6fc0cd8aef92364,Draymond,Green,GSW
101123,5bb7cd4bf6fc0cd8aef92365,Gerald,Green,HOU
203210,5bb7cd4bf6fc0cd8aef92366,JaMychal,Green,MEM
201145,5bb7cd4bf6fc0cd8aef92367,Jeff,Green,WAS
1627772,5bb7cd4bf6fc0cd8aef92368,Daniel,Hamilton,ATL
1629036,5bb7cd4bf6fc0cd8aef92369,Isaac,Haas,UTA
203501,5bb7cd4bf6fc0cd8aef9236a,Tim,Hardaway Jr.,NYK
201933,5bb7cd4bf6fc0cd8aef9236b,Blake,Griffin,DET
201935,5bb7cd4bf6fc0cd8aef9236c,James,Harden,HOU
203090,5bb7cd4bf6fc0cd8aef9236d,Maurice,Harkless,POR
1629148,5bb7cd4bf6fc0cd8aef9236e,Johnny,Hamilton,DET
1626149,5bb7cd4bf6fc0cd8aef9236f,Montrezl,Harrell,LAC
2734,5bb7cd4bf6fc0cd8aef92370,Devin,Harris,DAL
203925,5bb7cd4bf6fc0cd8aef92371,Joe,Harris,BKN
203914,5bb7cd4bf6fc0cd8aef92372,Gary,Harris,DEN
202699,5bb7cd4bf6fc0cd8aef92373,Tobias,Harris,LAC
1626150,5bb7cd4bf6fc0cd8aef92374,Andrew,Harrison,MEM
1627885,5bb7cd4bf6fc0cd8aef92375,Shaquille,Harrison,PHX
1628404,5bb7cd4bf6fc0cd8aef92376,Josh,Hart,LAL
1628392,5bb7cd4bf6fc0cd8aef92377,Isaiah,Hartenstein,HOU
2617,5bb7cd4bf6fc0cd8aef92378,Udonis,Haslem,MIA
202330,5bb7cd4bf6fc0cd8aef92379,Gordon,Hayward,BOS
203687,5bb7cd4bf6fc0cd8aef9237a,Reggie,Hearn,DET
203089,5bb7cd4bf6fc0cd8aef9237b,John,Henson,MIL
1627823,5bb7cd4bf6fc0cd8aef9237c,Juancho,Hernangomez,DEN
1626195,5bb7cd4bf6fc0cd8aef9237d,Willy,Hernangomez,CHA
1626209,5bb7cd4bf6fc0cd8aef9237e,Mario,Hezonja,NYK
1628439,5bb7cd4bf6fc0cd8aef9237f,Isaiah,Hicks,NYK
2403,5bb7cd4bf6fc0cd8aef92380,,Nene,HOU
1627741,5bb7cd4bf6fc0cd8aef92381,Buddy,Hield,SAC
201588,5bb7cd4bf6fc0cd8aef92382,George,Hill,CLE
1628988,5bb7cd4bf6fc0cd8aef92383,Aaron,Holiday,IND
203524,5bb7cd4bf6fc0cd8aef92384,Solomon,Hill,NOP
201950,5bb7cd4bf6fc0cd8aef92385,Jrue,Holiday,NOP
204066,5bb7cd4bf6fc0cd8aef92386,John,Holland,CLE
203200,5bb7cd4bf6fc0cd8aef92387,Justin,Holiday,CHI
1626178,5bb7cd4bf6fc0cd8aef92388,Rondae,Hollis-Jefferson,BKN
1626158,5bb7cd4bf6fc0cd8aef92389,Richaun,Holmes,PHX
203918,5bb7cd4bf6fc0cd8aef9238a,Rodney,Hood,CLE
201143,5bb7cd4bf6fc0cd8aef9238b,Al,Horford,BOS
2730,5bb7cd4bf6fc0cd8aef9238c,Dwight,Howard,WAS
1627863,5bb7cd4bf6fc0cd8aef9238d,Danuel,House,GSW
1628989,5bb7cd4bf6fc0cd8aef9238e,Kevin,Huerter,ATL
1626154,5bb7cd4bf6fc0cd8aef9238f,RJ,Hunter,ATL
1628990,5bb7cd4bf6fc0cd8aef92390,Chandler,Hutchison,CHI
2738,5bb7cd4bf6fc0cd8aef92391,Andre,Iguodala,GSW
201586,5bb7cd4bf6fc0cd8aef92392,Serge,Ibaka,TOR
101141,5bb7cd4bf6fc0cd8aef92393,Ersan,Ilyasova,MIL
204060,5bb7cd4bf6fc0cd8aef92394,Joe,Ingles,UTA
1627742,5bb7cd4bf6fc0cd8aef92395,Brandon,Ingram,LAL
202681,5bb7cd4bf6fc0cd8aef92396,Kyrie,Irving,BOS
1628371,5bb7cd4bf6fc0cd8aef92397,Jonathan,Isaac,ORL
1628411,5bb7cd4bf6fc0cd8aef92398,Wes,Iwundu,ORL
101127,5bb7cd4bf6fc0cd8aef92399,Jarrett,Jack,NOP
1627743,5bb7cd4bf6fc0cd8aef9239a,Demetrius,Jackson,PHI
1628402,5bb7cd4bf6fc0cd8aef9239b,Frank,Jackson,NOP
1628367,5bb7cd4bf6fc0cd8aef9239c,Josh,Jackson,PHX
1628382,5bb7cd4bf6fc0cd8aef9239d,Justin,Jackson,SAC
202704,5bb7cd4bf6fc0cd8aef9239e,Reggie,Jackson,DET
1628991,5bb7cd4bf6fc0cd8aef9239f,Jaren,Jackson Jr.,MEM
2544,5bb7cd4bf6fc0cd8aef923a0,LeBron,James,LAL
201973,5bb7cd4bf6fc0cd8aef923a1,Jonas,Jerebko,GSW
1628518,5bb7cd4bf6fc0cd8aef923a2,Amile,Jefferson,ORL
101161,5bb7cd4bf6fc0cd8aef923a3,Amir,Johnson,PHI
1628993,5bb7cd4bf6fc0cd8aef923a4,Alize,Johnson,IND
1629168,5bb7cd4bf6fc0cd8aef923a5,BJ,Johnson,ORL
201949,5bb7cd4bf6fc0cd8aef923a6,James,Johnson,MIA
203910,5bb7cd4bf6fc0cd8aef923a7,Nick,Johnson,SAS
204179,5bb7cd4bf6fc0cd8aef923a8,Omari,Johnson,IND
1626169,5bb7cd4bf6fc0cd8aef923a9,Stanley,Johnson,DET
204020,5bb7cd4bf6fc0cd8aef923aa,Tyler,Johnson,MIA
202325,5bb7cd4bf6fc0cd8aef923ab,Wesley,Johnson,LAC
203130,5bb7cd4bf6fc0cd8aef923ac,Darius,Johnson-Odom,MIN
203999,5bb7cd4bf6fc0cd8aef923ad,Nikola,Jokic,DEN
1627883,5bb7cd4bf6fc0cd8aef923ae,Jalen,Jones,DAL
1627745,5bb7cd4bf6fc0cd8aef923af,Damian,Jones,GSW
1626145,5bb7cd4bf6fc0cd8aef923b0,Tyus,Jones,MIN
201599,5bb7cd4bf6fc0cd8aef923b1,DeAndre,Jordan,DAL
1626163,5bb7cd4bf6fc0cd8aef923b2,Frank,Kaminsky,CHA
202683,5bb7cd4bf6fc0cd8aef923b3,Enes,Kanter,NYK
1629226,5bb7cd4bf6fc0cd8aef923b4,Ismaila,Kane,MEM
